DateTime,IMEI,SD Card,HW Ver,Firm Ver,Air Temp,Air Pressure,AIr Humidity,Lead Wetness,Rain,Wind Die,Wind Speed,Soil Temp,P Soil Mois,S Soil Mois,Light Inten, Solar Radi,Remarks
22/0721 10:42:04,868922052637739,OK,3.0,2.0,22.54,90984.62,80.73,1,0.0,NW,0.0,-9.0,48,48,-9,0,PASS
22/0721 10:47:24,868922052637739,OK,3.0,2.0,22.9,90978.12,78.26,70,0.0,NW,0.0,-9.0,48,48,-9,0,PASS
22/0721 10:59:24,868922052637739,OK,3.0,2.0,23.7,90936.69,73.79,0,0.0,NW,0.0,-9.0,48,48,-9,0,PASS
22/0721 11:24:42,868922052637739,OK,3.0,2.0,-9.0,-9.0,-9.0,100,0.0,NW,0.0,-9.0,48,48,-9,0,PASS
22/0721 12:03:24,868922052637739,OK,3.0,2.0,22.74,90969.0,78.2,0,0.0,NW,0.0,-9.0,48,48,-9,0,PASS
22/0721 12:07:24,868922052637739,OK,3.0,2.0,22.7,90880.56,80.95,60,0.0,NW,0.0,-9.0,48,48,-9,0,PASS
22/07/21 14:48:44,868922052637739,OK,3.0,2.0,22.9,90820.64,80.43,0,0.0,NW,0.0,-9.0,48,48,-9,0,PASS
22/07/21 14:52:43,868922052637739,OK,3.0,2.0,23.09,90773.64,82.12,44,0.0,NW,0.0,-9.0,6741,6791,-9,0,PASS
22/07/21 15:36:44,868922052637739,OK,3.0,2.0,23.09,90784.9,82.57,69,0.0,NW,0.0,-9.0,6914,6803,-9,0,PASS
22/07/21 15:46:05,868922052637739,OK,3.0,2.0,23.04,90778.34,83.0,67,0.0,NW,0.0,-9.0,6922,6803,-9,0,PASS
22/07/21 15:47:58,868922052637739,OK,3.0,2.0,23.04,90779.06,83.26,68,0.0,NW,0.0,-9.0,6958,6803,-9,0,PASS
22/07/21 16:24:32,868922052637739,OK,3.0,2.0,22.77,90791.22,81.79,63,0.0,NW,0.0,-9.0,6905,6780,-9,0,PASS
22/07/21 16:39:10,868922052637739,OK,3.0,2.0,22.88,90813.38,81.5,63,0.0,NW,0.0,-9.0,6830,6925,-9,0,PASS
22/07/21 16:47:42,868922052637739,OK,3.0,2.0,22.86,90756.38,80.4,52,0.0,NW,0.0,-9.0,6806,60,-9,0,PASS
22/07/21 16:53:20,868922052637739,OK,3.0,2.0,22.97,90756.72,79.83,49,0.0,NW,0.0,-9.0,6946,48,-9,0,PASS
22/07/21 16:59:51,868922052637739,OK,3.0,2.0,22.88,90727.68,79.52,0,0.0,NW,0.0,-9.0,6581,6358,-9,0,PASS
22/07/21 17:01:54,868922052637739,OK,3.0,2.0,22.92,90774.56,81.74,0,0.0,NW,0.0,-9.0,6718,126,-9,0,PASS
22/07/21 17:03:29,868922052637739,OK,3.0,2.0,23.08,90780.17,80.59,0,0.0,NW,0.0,-9.0,6791,6974,-9,0,PASS
22/07/21 17:06:02,868922052637739,OK,3.0,2.0,22.79,90779.62,78.89,49,0.0,NW,0.0,-9.0,6806,6799,-9,0,PASS
22/07/21 17:08:57,868922052637739,OK,3.0,2.0,23.26,90771.27,81.83,0,0.0,NW,0.0,-9.0,6854,6806,-9,0,PASS
22/07/21 17:11:36,868922052637739,OK,3.0,2.0,22.85,90769.34,82.19,64,0.0,NW,0.0,-9.0,6487,6737,-9,0,PASS
22/07/21 17:15:01,868922052637739,OK,3.0,2.0,22.66,90796.38,79.19,0,0.0,NW,0.0,-9.0,6930,6878,-9,0,PASS
22/07/21 17:18:39,868922052637739,OK,3.0,2.0,22.71,90730.3,81.61,62,0.0,NW,0.0,-9.0,6934,6995,-9,0,PASS
22/07/21 17:30:40,868922052637739,OK,3.0,2.0,23.0,90817.92,80.81,2,0.0,NW,0.0,-9.0,6962,6862,-9,0,PASS
22/07/21 18:24:28,868922052663636,OK,3.0,2.0,-9.0,-9.0,-9.0,0,0.0,NW,0.0,-9.0,48,48,-9,0,PASS
22/07/21 18:27:02,868922052663636,OK,3.0,2.0,-9.0,-9.0,-9.0,0,0.0,NW,0.0,-9.0,48,48,-9,0,PASS
22/07/21 18:29:12,868922052663636,OK,3.0,2.0,-9.0,-9.0,-9.0,0,0.0,NW,0.0,-9.0,48,48,9,26,PASS
