DateTime,IMEI,SD Card,HW Ver,Firm Ver,Air Temp,Air Pressure,AIr Humidity,Lead Wetness,Rain,Wind Die,Wind Speed,Soil Temp,P Soil Mois,S Soil Mois,Light Inten, Solar Radi,Remarks
16/0721 13:19:05,868922052636921,OK,3.0,2.0,23.78,90989.7,80.22,100,0.0,WNW,0.0,-9.0,6803,48,13,21,PASS
16/0721 13:21:56,868922052636921,OK,3.0,2.0,23.82,90995.7,80.84,100,0.0,WNW,0.0,-9.0,6803,48,14,18,PASS
16/0721 13:51:56,868922052636921,OK,3.0,2.0,24.0,90950.92,78.92,100,0.0,WNW,0.0,-9.0,6838,48,12,16,PASS
16/0721 14:03:33,868922052636921,OK,3.0,2.0,24.11,90950.25,78.09,100,0.0,WNW,0.0,-9.0,6869,48,11,15,PASS
16/0721 14:18:49,868922052636921,OK,3.0,2.0,24.14,90928.15,77.96,100,0.0,WNW,0.0,-9.0,6806,48,14,19,PASS
16/0721 14:39:27,868922052636921,OK,3.0,2.0,24.26,90918.04,77.18,100,0.0,WNW,0.0,-9.0,6881,48,14,14,PASS
19/0721 10:49:56,868922052636897,OK,3.0,2.0,-9.0,-9.0,-9.0,83,-9.0,NE,0.0,0.0,-1736236032,-1736236032,-9,46,PASS
19/0721 10:57:05,868922052663578,OK,3.0,2.0,-9.0,-9.0,-9.0,100,-9.0,WSW,0.0,0.0,-1736236032,-1736236032,-9,41,PASS
20/0721 10:43:51,868922052636921,OK,3.0,2.0,23.25,91315.84,75.58,0,0.0,NW,0.0,-9.0,49,49,165,84,PASS
20/0721 10:55:00,868922052636921,OK,3.0,2.0,23.65,91294.62,74.16,0,0.0,NW,0.0,-9.0,49,49,184,85,PASS
20/0721 12:31:34,868922052637606,OK,3.0,2.0,-9.0,-9.0,-9.0,0,0.0,NW,0.0,-9.0,49,49,-9,0,PASS
20/0721 12:46:07,868922052637606,OK,3.0,2.0,-9.0,-9.0,-9.0,0,0.0,NW,0.0,-9.0,49,49,-9,0,PASS
20/0721 12:54:40,868922052637606,OK,3.0,2.0,23.45,91160.04,76.13,0,0.0,NW,0.0,-9.0,49,49,-9,0,PASS
20/0721 13:06:20,868922052637606,OK,3.0,2.0,24.8,91136.05,69.59,0,0.0,NW,0.0,-9.0,49,49,-9,0,PASS
20/0721 13:08:41,868922052637606,OK,3.0,2.0,24.97,91135.41,69.21,0,0.0,NW,0.0,-9.0,49,49,-9,0,PASS
20/0721 13:17:00,868922052637606,OK,3.0,2.0,25.23,91119.66,67.35,0,0.0,NW,0.0,-9.0,49,49,-9,0,PASS
20/0721 13:49:20,868922052637606,OK,3.0,2.0,25.75,91106.97,64.9,0,0.0,NW,0.0,-9.0,49,49,-9,0,PASS
20/0721 14:03:25,868922052637606,OK,3.0,2.0,25.85,91080.18,63.73,0,0.0,NW,0.0,-9.0,49,49,-9,0,PASS
20/0721 14:08:42,868922052637606,OK,3.0,2.0,-9.0,-9.0,-9.0,0,-9.0,NW,0.0,-9.0,49,49,-9,30,PASS
20/0721 14:10:51,868922052637606,OK,3.0,2.0,-9.0,-9.0,-9.0,0,0.0,NW,0.0,-9.0,49,49,-9,44,PASS
20/0721 14:32:36,868922052637606,OK,3.0,2.0,-9.0,-9.0,-9.0,0,0.0,NW,0.0,-9.0,49,49,-9,66,PASS
