DateTime,IMEI,SD Card,HW Ver,Firm Ver,Air Temp,Air Pressure,AIr Humidity,Lead Wetness,Rain,Wind Die,Wind Speed,Soil Temp,P Soil Mois,S Soil Mois,Light Inten, Solar Radi,Remarks
29/07/21 11:01:28,868922052637739,OK,3.0,2.0,-9.0,-9.0,-9.0,0,-9.0,NW,0.0,-9.0,48,48,-9,0,PASS
29/07/21 11:03:43,868922052637739,OK,3.0,2.0,-9.0,-9.0,-9.0,0,-9.0,NW,0.0,-9.0,48,48,-9,93,PASS
29/07/21 11:05:42,868922052637739,OK,3.0,2.0,-9.0,-9.0,-9.0,0,0.0,NW,0.0,-9.0,48,48,371,84,PASS
29/07/21 11:07:55,868922052637739,OK,3.0,2.0,-9.0,-9.0,-9.0,0,0.0,NW,0.0,-9.0,48,48,1536,94,PASS
29/07/21 11:36:15,868922052663636,OK,3.0,2.0,-9.0,-9.0,-9.0,0,0.0,NW,0.0,-9.0,48,48,308,81,PASS
29/07/21 11:40:10,868922052663636,OK,3.0,2.0,-9.0,-9.0,-9.0,0,-9.0,NW,0.0,-9.0,48,48,-9,90,PASS
29/07/21 11:41:40,868922052663636,OK,3.0,2.0,-9.0,-9.0,-9.0,0,-9.0,NW,0.0,-9.0,48,48,-9,96,PASS
29/07/21 12:02:02,868922052663636,OK,3.0,2.0,-9.0,-9.0,-9.0,0,0.0,NW,0.0,-9.0,48,48,1067,92,PASS
02/08/21 17:24:10,862607058696617,OK,3.0,2.0,26.89,91189.05,58.05,0,1.68,NW,4.32,-9.0,6487,50,72,68,PASS
02/08/21 17:26:55,862607058696617,OK,3.0,2.0,26.91,91189.38,58.2,100,1.68,NW,4.8,-9.0,6400,50,59,67,PASS
